shortname,website,region,rating_google,reviews,field_lcp,field_cls,field_inp,field_fcp,field_speed_problem,field_ux_problem,perf_score,issues,category,accessibility,best_practices,seo,concatenated_reviews,title,mobile,mobile_lcp,mobile_cls,mobile_inp,desktop,desktop_lcp,desktop_cls,desktop_inp,lab_speed_problem,lab_ux_problem,fh_score,rating,img_sav_kb,js_sav_kb,css_sav_kb,photo_url,fh_site,account_tier,latitude,longitude
wondervan.pt,https://wondervan.pt,EMEA,4.9,271,3.0 s,0.0,n/a,2.3 s,🟡 Borderline,⚪ n/a,64,High LCP (avg: 7.1s),Wonder Van - Tours | Experiences | Events,n/a,n/a,n/a,"My husband and I did a sintra day trip with private guide Tomàs and we are so glad we did!! Tomas has a huge amount of historical knowledge and shared so much information that we would not have known ..., Me and my group just completed our Sintra Tour with Tomás and it was unforgettable. It was the highlight of our Portugal trip and a must do for when you are near. Was worth the the cost of the flights..., We did this tour with Alex and it was incredible. Alex was so knowledgeable and had so many interesting facts and myths to share about each stop. He was especially kind and patient with our inquisitiv..., We had the best time ever! My husband and I are here for our honeymoon and this was our last full day in Portugal! Riding with Tomas, we were able to learn so much and see even more! He took great pic..., This tour was absolutely incredible, and Alex made it unforgettable! I originally booked the Sintra Jeep Group Tour, but after a couple canceled last-minute, I ended up getting a private tour — and I ...","Wonder Van | Jeep, Van & Bus Tours in Portugal (Sintra, Lisbon)",51,13.1 s,0,14.0 s,76,1.1 s,0.022,4.2 s,🟡 Borderline,⚪ n/a,58,Needs Improvement,31.5,1721.8,201.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdDeObFd4dq1s-AT0-9N0Swq0vSRmx_XtnNckNElrtR89ng8j40FCPsw59pMRh2JvZdkNFJ4OAQ62XjeWcXuSq6fF5gKQs1XjjUxrQEcfuE_DAwoYR3sABOH4Kk8jVRu2w44bPFM-pjuBwqTmYcIBn6cQgFya5t9qJ51GwcZ3H-gPTZVldwFAJ1JQLNIRPTS4WuKC2caBR_l-iPD3VCNR31_N0SHm9_YUmke9t9xr6dCo425kiC9zyI6pyDjSG5WkH6OSSGYngD-KwZwzBqjDNpuMkPuEpPlhxZHBkTjw9L5BObfkDjNN27U7TtJeOWovBSJUJiuavMeSgGngpoPw-YTW52k0iP_838FhdINxQdkHOJMr_TCEjQ69chW9CdMl2ATqbaQzi7xoB7uZiu3-hoQAFFWG8Us7bHc-2W0yx4CVSiEl-9AgXANmX78edleYkA67e5jUskFwag1J5KM3dWtJ9jW-rFN4v3tdk2C6TEar052M32KIxJDoiaCPRQmfiSqXranG8u4nsZaS-GgiE6U_lPF3K1urV2zz5Bl2kuYtx0dmWBoysE0e7j6YeKJ1hJe0K-Yua505Yt4BNUADnG4E0CW8c1E_r4U-1XeJ7V6_nklWup0ANaJruuTY8wTFZ2NSMY&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,38.798892,-9.387247
gwili-railway.co.uk,https://gwili-railway.co.uk,EMEA,4.5,1298,2.1 s,0.0,n/a,1.1 s,🟢 Stable,⚪ n/a,52,High LCP (avg: 7.5s),Gwili Steam Railway,n/a,n/a,n/a,"Excellent time at the Gwili Steam Railway. All of the volunteers are so friendly, helpful and knowledgeable. If you are in Carmarthenshire it is a must to visit., Bought as a surprise birthday treat, we spent a lovely Sunday morning on this blast from the past, we were served with Welsh Elevenses which consisted of Tea or Coffee with 2 Welshcakes and a slice of..., We went for a cream tea trip, it all took about 90 minutes, the cream tea hit the spot and the tea was great, we had a 20 min stop where you could take a child on the miniature rail way so thongs just..., Poor railway Maximum speed  about 4 mph Museum good Cafe addquate.
Good book ship.
Free parking., We had the wettest day possible in June but the warmth of everyone more than made up for the conditions. We took some snacks & enjoyed following the journey on a map provided. The museum on our return...","Gwili Railway | Vintage Steam Train Rides at Carmarthen, Wales",40,13.9 s,0,37.6 s,64,1.2 s,0.002,6.9 s,🔴 High (Slow),⚪ n/a,47,Poor,4261.4,3685.4,1041.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpca7mKmf8y4CArkJHS_gZYLDeCzd4nIarfmeDJ1q3H89gXwvz4dInSAFEq7enLAWCYul913oW-xYpartmynbxZVY_EA-VFyCBkOUlWWlaYasLukDByk-7xYSw77Jt2o91q_BU30U4QbRfB96cmyGW5O1tJvBMBp6A5jDmGfioAgPBS3j3qVurgUi83jkL86YVRyEm_-xgk5a0W8GycmHACP20XfsNLBfC_-FZbo-0e4Qo3gx0C-CnCgpfhBARSVNMulIP8eBN0Ylb2S6p8XEnqSsz2w9XHlgu-xVDtBlObmI5Kj4BaC9Dm62QDsGldQNMWa5-WaicDxZR1lR4zmJU3Zz_Iz_hnH-3yM2_ltoAZ94vcNkhZgKeL-Q08oI7ZV3F20LoGa7dJfwChxQ36B6Yrbu_6DH_4gZn4SZzkbXVewqcQdColxORMsl07NA96Uo18N7g5BHzxNFk7h63D1CQon1WG-OWQ6977X8qrdiVLWmx1d5wUBCZS_xeeN1RdpaHpzS3Zlsi-bT3XDwam-KNzAFf2XIsEXZxXdCpCaagmfcEmcjEfle-_5DfSl_yGkntquZKz2W1HHN5YvASPUcyXqEfQNtqvGLTLmNZBZdVEkXKZORvAfiA8nTsHYHTQmi57Eqw&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,51.8689221,-4.2803939
segwaytrip.com,https://segwaytrip.com,EMEA,4.9,528,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,74,"High LCP (avg: 3.3s), Mobile bonus (+2)",Capital Segway Tours,n/a,n/a,n/a,"We scheduled the trip the night before and hit a good weather window. Brandon and Kyle were great and had knowledge of the city and the history. The Segway instruction was good and they were happy to ..., My wife and I are in our 60's and I've never been on a Segway before. I'm having some knee trouble so we decided the Capital Segway Tour would be a good way of learning about DC. I admit to being quit..., We walked in without a booking and they got us on a tour immediately. Our instructors were fantastic. Kyle led our actual tour. He made us feel comfortable and made sure everyone was having a good tim..., If you’re in DC and don’t take a Capital Segway tour, you’re doing the city all wrong. This was hands-down the best way to see the sights—and Brandon made it unforgettable. The man is cleverly hilario..., This is a phenomenal way to see the city! There can be a learning curve to riding a Segway, but the staff here were wonderful with explaining everything. My tour guides, Kyle and Teddy, were amazing! ...",Segway Madrid | Segway Tours en Madrid,76,5.8 s,0.002,12.9 s,72,0.8 s,0.002,4.8 s,🟢 Stable,⚪ n/a,71,Needs Improvement,856.0,1722.3000000000002,200.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfHWCT70Bv3q9UqI8i5O6uDpdBpUhxX23z_tKbmGW9XCFE12LHkqXnCUzi5ljstfMd5um2s1FolUYlCcAxGDRe1Qw59fyoUXtrvgdhgrdYuTs7UmWDAIubfK2WkK4wzhdFAOISE103opyYvYp9w3Scf6C_2A4W5oEapHQyh1N_P2V70j5dyMFsAS8jev53pcuKc3F1YJNH9Orw4v6Wex3CUhxQ1Cw8NbWYxqTOPRJP3PerigAadOQ8BlkZBqKHvjtDUrH5Cjeq_Kvo4Q0CVvBbLIvBz1KcOcRjF0wpOH3Om0JKCVPC6LPtrM-ohp0M6lDV_tZ1GtFQ&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,38.9008798,-77.0386841
bmr.wales,https://bmr.wales,EMEA,4.6,3430,1.5 s,0.0,n/a,1.1 s,🟢 Stable,⚪ n/a,56,High LCP (avg: 11.0s),Brecon Mountain Railway,n/a,n/a,n/a,"A wonderful few hours on a steam train.  Ample parking, lovely little tea room with sandwiches, homemade cakes and various other refreshments.
The staff are all friendly and informative and make the t..., An amazing experience chilled beautiful scenery. The staff were very friendly and the place was spotless. You must try they're cafe the cakes are lush. I'm looking forward to going again hopefully whe..., The Brecon mountain railway offers a very pleasant steam train ride up into the Brecon Beacons from a station just outside Merthyr Tydfil. The cafe has some very yummy cake! The view up the valley ove..., My parents and I had an incredible experience at Brecon Mountain Railway yesterday. We had two afternoon teas which were outstanding - the presentation, taste of everything and amount of food! The sta..., This was such a lovely experience. It was easy to prebook online. Free parking. Our dog got a little treat bag with some little treats and a poo bag, which was a lovely touch.

The scenery was stunnin...",The Brecon Mountain Railway | Steam Trains Rides South Wales,52,20.2 s,0,20.3 s,59,1.8 s,0.002,5.7 s,🟡 Borderline,⚪ n/a,50,Needs Improvement,141.6,2197.6,199.60000000000002,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpc97A6fxTLfaXDYXLkDIF5J1UM2fWYbayddtjwowsp_Os6u37l4NxzyC0LWoOKyzOiJMcy0O-TAIzOpFCpEQC6C6p7oLiyauglwzBp0MvfmIuoivngvGaseOM2u46Xlum0OdU4FSCZbBhZcuQLj3bJGFt3AfuEnxH_Zs-yNtfD7_zdnrW54BUPjIiYoIfjHMmo18rgzh2cTWn8mntyXo_EkoM_Ci1aiKyBxnhPq7gMU1HyM2lAlHMr1v9USyoYXgjSXPEyhqNsfwe7veEepvFyHZbMj9Xc58VjW-bHm5onfJeYSzM8DzfDjJ2JCoYjvedC1XhdHhL8&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,51.7782395,-3.3648987
amsterdamcircleline.nl,https://amsterdamcircleline.nl,EMEA,4.3,398,3.8 s,0.0,n/a,2.5 s,🟡 Borderline,⚪ n/a,42,High LCP (avg: 5.8s),Amsterdam Circle Line - Canal Cruises,n/a,n/a,n/a,"We took this cruise after leaving the Anne Frank House. We did not plan it but we were tired from walking all over and thought ""at least we could rest our feet""  So glad we did. It is located directly..., Given Amsterdam has so many canals and waterway systems, we thought that there was no better way to see the beautiful buildings and architecture than by canal boat. Overall the trip was around 70 minu..., The guy in yellow shirt sold us the tickets and he said we have water on board. Turn out that there was no drinking water on board. When I asked the captain, if you have water, he stopped the engine a..., My friend and I had booked the Amsterdam Lights Festival Cruise on Christmas Eve. It was a surreal experience! The staff are very polite and courteous. The cruise is over an hour long and takes you ac..., At first I wanted to go on a wine and cheese tour. But I couldn't find the right company. So we used this company. Everything was great. The trip lasted 75 minutes, in a circle. The staff and captain ...",Amsterdam Circle Line | Bestel tickets ⚓ Méér dan een Rondvaart,32,8.9 s,0.001,17.0 s,52,2.8 s,0.001,3.4 s,🔴 High (Slow),⚪ n/a,37,Poor,427.3,1562.6,249.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfWux5WfGFRj1G1RNp4jFbBWjIe0gPXDe-O9iLD0bWPkJLDUXCnM9e26o2XrNg-yr3oA5msB76_PGPY-j251BsZS3kScitcHKht3Z1xeURH8OggSqiL6u1F1Rnjallg83SztztaESyYls9ytJeX89u0R93C-nIqWVUiVztr2BAlyJ_6h9OVB7-Tl5c58bCmiQVeQ-0LCYNNP0S9dpxdWElzdcceceouOGYaaQdO37F9jeCR2T0F2VPQOk2Ok_BbzdocfB5X_CVlB9zo_DvNqaPhVzvN1dDRhIU2HU7XwGk8knIx-B2aa-NNXzCdSx8L38A-dntuQm4&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,52.3752973,4.8841326
castlearchdaleboathire.com,https://castlearchdaleboathire.com,EMEA,4.5,240,1.2 s,0.0,n/a,1.0 s,🟢 Stable,⚪ n/a,74,"High LCP (avg: 4.3s), Desktop bonus (+2)",Castle Archdale Boat Hire & Watersports,n/a,n/a,n/a,"A great place to feed the ducks and swans bird seed, peas, sweetcorn and cooked spaghetti (no bread as it has no nutritional value and fills their tummies up). Lots of walks around, activities, etc to..., Rented boat for a half day with wifey.  Friendly staff who advised on sailing/driving the wee boat along with map on where to go.  Take at least two maps (which they did provide) as one will definitel..., Visited last year
Plenty of water attractions. Pre booking beforehand Online to avoid disappointment. Different boat sizes accordingly ur needs. Still at reasonable price.

I Hired a boat for 04 hours..., Had a great time here boat/cycles were easy to use. Paddled to white island. Joe was great guide who explained everything. Would be great day with youngster's aswell adults never to old. Give it a go, Great fun! I'm so glad we did this. Easy to book over the phone, friendly service, and great instructions! We'd never gone boating before and we were 100% fine on some slightly choppy water. It was so...",Castle Archdale Boat Hire & Erne Adventures Watersports | Water Experiences in NI,57,7.3 s,0,14.5 s,91,1.4 s,0.005,2.9 s,🟡 Borderline,⚪ n/a,71,Needs Improvement,28.7,1196.8000000000002,145.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeZHZulJb1kwovbX86-JVz4SArYVfoxmd17AMs0MHsRf7L4sVSes3gNt1jOkYp_L_Dj127DrCKHIYRRY6WIg4mXETlfbP-6199Ly-i2dtHAabzK3PcSfuZKBJ0eci0YMPynXDGq8H77MgiYwIq2ZrIzzYMpPxvPgscoTaRsHw9sq3Aj-Py81jclwjzQVUiLnDSTAgyEDDQcnMKPk_taNX7DB6cHise23PFs1hOCuMmh4qEZK7zCSXctMVEa5pPPYWwkEzlhuGxTf7BzuZs_MlnvEqCA95wMHs2ACSwj_IctHgN32T6-hAiHK97J647YBrMohlZzrbg&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,54.4780098,-7.7333102
tasteoflisboa.com,https://tasteoflisboa.com,EMEA,n/a,n/a,1.8 s,0.001,n/a,1.7 s,🟢 Stable,⚪ n/a,69,High LCP (avg: 4.3s),tasteoflisboa.com,n/a,n/a,n/a,n/a,Taste of Lisboa Food Tours | Lisbon Walking Tour & Sightseeing,66,7.1 s,0.002,18.0 s,72,1.5 s,0.006,5.6 s,🟡 Borderline,⚪ n/a,64,Needs Improvement,2901.1,1773.1999999999998,197.7,n/a,Yes,2,n/a,n/a
spanish-trails.com,https://spanish-trails.com,EMEA,5,254,1.6 s,0.027,n/a,1.4 s,🟢 Stable,⚪ n/a,82,"High LCP (avg: 4.4s), Desktop bonus (+2)",Spanish Trails,n/a,n/a,n/a,"We enjoyed an absolutely stellar visit to the Priorat wine region with Spanish Trails and guide Anthony Garner in early May. Anthony was extremely knowledgeable, very personable and immediately made u..., Had the most wonderful experience today. It was a full day tour to the Salvatore Dali Museum and then to Girona to explore the history of Judaism and the Museum of Jewish History. I could not have ask..., We had an amazing tour of Costa Brava with Anthony
Garner. He was extremely personable, knowledgeable and so patient with some elderly tourists that were part our small group tour. I will use Spanish ..., Spanish Trails, Craig Markarian and Luca Mezzelani provided a spectacular day to Montserrat! Cannot say enough about Craig’s knowledge and care for us throughout the day. Luca added wonderful color co..., This is the highlight of our Barcelona stay. Having been here before twice, we decided to get out of the hustle and bustle city and what a pleaant surprise for us. Mariela, our guide, is just amazing....","Spanish Trails | Explore Barcelona, Spain With Tours & Trips",66,7.9 s,0.003,14.2 s,98,0.9 s,0.002,2.7 s,🟡 Borderline,⚪ n/a,79,Needs Improvement,486.9,1326.8,156.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfgu70DI-wXLX2eO2pLIjQwUAFRVZQJUoeAlWzGKWKW1qxmKM_R2vA2WSMniSL94PVWoGcffh8Gw3RZtgQehrbevGXEIIL08OpORRj6rKiJOoyccZXaoONBmVg2TQXEhBz9TRmrUEutGvDMMXqxaXLlzMCstMOSa3OwGovqu5RoSQKzjNu2gAJ38Qz59uZ-BQLQO2JFYcn2pSSpXM8h0x840cU4dsL_p9hV81c_O6bd0AbZkc4UShdQRekKUURZ_sqw6XBCQpFb9clbhaqTtOloxTKcLCYzTNWuuysd3Bot1ls4hdFO1pEl5np9m40A0BXSBQJQ9Qo&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,41.3868356,2.1719271
toursofpompeii.com,https://toursofpompeii.com,EMEA,n/a,n/a,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,80,"High LCP (avg: 4.8s), Desktop bonus (+2)",toursofpompeii.com,n/a,n/a,n/a,n/a,Tours of Pompeii with Lello and Co.,69,8.0 s,0,8.3 s,90,1.7 s,0.037,1.7 s,🟡 Borderline,⚪ n/a,76,Needs Improvement,1252.8,127.69999999999999,0.0,n/a,Yes,2,n/a,n/a
captaindaveamsterdam.com,https://captaindaveamsterdam.com,EMEA,5,526,1.8 s,0.007,n/a,1.4 s,🟢 Stable,⚪ n/a,86,"High LCP (avg: 3.5s), Desktop bonus (+2)",Captain Dave Amsterdam— The Official Canal Cruises,n/a,n/a,n/a,"Absolutely fantastic, from start to Finnish! Captain Dave is a true entertainer - there were no moments of silence, every minute was packed with tour knowledge, sights to see, humor and fun. He includ..., This was my favorite experience over our 9-day trip to the Netherlands and Belgium. My biggest regret was that we couldn't fit in a second trip on the boat.
Tony was our captain and he was a ball. So ..., Just did the loveliest early morning (8am) boat tour with Jan as our guide. He was informative, funny and very welcoming; it was so nice to hear about Amsterdam from a local. We have already booked in..., This is the canal boat experience that you want to have if you never considered one because you felt it would be too crowded and touristy. The group is small, the boat Interior is all warm wood and up..., I have taken the morning canal cruise and it was a lovely experience. Beautiful views, interesting stories from the captain. I didn't notice when the time has passed and the tour was over. I can defin...",Captain Dave Amsterdam —The Official,75,5.8 s,0,5.8 s,97,1.2 s,0.001,1.2 s,🟢 Stable,⚪ n/a,83,Needs Improvement,204.20000000000002,116.2,0.0,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfW4nU7G1O5Ma9tWmudOUVHK_EvDuIJoEJeTMFevY_dznd1uKyBtduASCMVthvb3G3jvodATzdApjT-R3kuxxsEFPVCQ_svsj4gU4dXRnXEObiLI8VdVO64GAu4-WIhpqeRkoUpRg1C974sPPtA_Hq92vvNhli7DGRblqcA-4nC-xNL3o9bPcLpSt2Gkex8ZzBq1DF58xF3NLiKNUZOZWZUR8Pfie2lV9_FhttSPzbklpVBt_wC66KpjiCyZ5iIi0Q4BFDoPJKUHSBpsN5FRdtJkLnjzuAnxwG-JNmcHMtTUpAIVDXX2p3mjU99R7-USHSBlwUBvIc&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,52.3714919,4.883022200000001
